Nom,Catégorie,Site,Locus,Chronologie,Divinités,Épithètes,Iconographie,"Répertoire textuel ",Roi,Dynastie,"Lexique ""Désert""",Titres de particuliers,Type de sacralisation,Type d'écriture,"Bibliographie ",Commentaire,Matière,Conservation,"Dimensions (H, l, ép.)",Technique,Type de cintrage,Important
SEH 2,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,IVe - Ve dynastie,,Le directeur de (la forteresse) d’Éléphantine,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 33cm ; l. 71cm,Piquetage,,
SEH 3,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",Pépy I,VIe dynastie,,"Prince ; prince héréditaire ; chancelier du roi de basse-Égypte ; ami unique ; prêtre lecteur ",,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 30cm ; l. 150cm,Piquetage,,
SEH 4,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",Pépy I,VIe dynastie,,Prince ; prêtre-lecteur ; ami unique,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 36cm ; l. 107cm,Piquetage,,
SEH 5,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Inscription d'expédition, Signature",Pépy II,VIe dynastie,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 123cm ; l. 103cm,Piquetage,,
SEH 6,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",Pépy II,VIe dynastie,,"Prince ; chancelier du roi de Basse-Égypte ; prêtre lecteur ; ami unique ",,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 85cm ; l. 65cm,Piquetage,,
SEH 7,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",Pépy II,VIe dynastie,,Chancelier du roi de basse-Égypte ; prêtre lecteur ; ami unique,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 22cm ; l. 71cm,Piquetage,,
SEH 8,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",Pépy II,VIe dynastie,,"Prince ; chancelier du roi de Basse-Égypte ; prêtre lecteur ; ami unique ",,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 56cm ; l. 201cm,Piquetage,,
SEH 9,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",Pépy II,VIe dynastie,,Prince ; prêtre lecteur ; ami unique,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 54cm ; l. 8cm,Piquetage,,
SEH 10,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Inscription d'expédition, Signature",Pépy II,VIe dynastie,,Le dignitaire du roi ; chef des auxiliaires nubiens ; chancelier du roi de Basse-Égypte ; ami unique ; prêtre-lecteur ; juge ; scribe ; capitaine de navire,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 93cm ; l. 104cm,Piquetage,,
SEH 11,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Inscription d'expédition, Signature",Pépy II,VIe dynastie,,Commandant des auxiliaires nubiens ; juge ; directeur des scribes,,Hiéroglyphes,Les inscriptions de Séhel,"Plusieurs textes gravés très près les uns des autres et se chevauchant parfois. Deux sont lisibles. À gauche de ces inscriptions, deux groupes de signes incompréhensibles.",,,"(I) h. 6cm ; l. 53cm
(II) h. 20cm ; l. 62cm",Piquetage,,
